payee_name,honoree_name,n_contributions,total_amount,distinct_filings,distinct_contributors
SMITHSONIAN INSTITUTION,"Founding donor and sponsor of the design, development, and opening of the Smithsonian American Women's History Museum. Entity controlled by covered officials. Multiple MOCs on Board of Regents.",1,1000000.0,1,1
REPUBLICAN PARTY OF KENTUCKY,Mitch McConnell,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump,1,1000000.0,1,1
PRESIDENTIAL INAUGURAL COMMITTEE,President Donald Trump and Vice President JD Vance,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC","Trump Vance Inaugural Committee, Inc",2,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,President-elect Trump and VP-elect Vance,1,1000000.0,1,1
DONALD TRUMP PRESIDENTIAL INAUGURAL COMMITTEE,President Donald Trump,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC. 2025","Trump Vance Inaugural Committee, Inc. 2025",1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE INC,"President Donald Trump, Vice President JD Vance",1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,President Donald Trump,1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE INC.,President-Elect Donald J. Trump and Vice President-Elect JD Vance,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump; JD Vance,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump and James David Vance,2,1000000.0,2,1
TRUMP VANCE INAUGURAL COMMITTEE INC,"Trump, Donald",1,1000000.0,1,1
JEFFRIES FOR CONGRESS,Rep. Hakeem Jeffries,348,999860.0,319,151
MONTANANS FOR TESTER,Sen. Jon Tester,447,999275.0,363,157
KATHERINE CLARK FOR CONGRESS,Rep. Katherine Clark,435,983755.0,388,164
GARBARINO FOR CONGRESS,Andrew Garbarino,509,956400.0,415,140
ASIAN PACIFIC AMERICAN INSTITUTE FOR CONGRESSIONAL STUDIES,Members of the Congressional Asian Pacific American Caucus,4,950000.0,4,1
FRIENDS OF SHERROD BROWN,Sherrod Brown,482,947896.6900000001,422,121
MCCARTHY VICTORY FUND,Kevin McCarthy,182,940750.0,152,42
JOHNSON LEADERSHIP FUND,Mike Johnson,170,937219.5199999999,147,49
DCCC,Democratic Congressional Campaign Committee,136,933789.0,119,19
REPUBLICAN GOVERNANCE GROUP/TUESDAY GROUP PAC,Republican Governance Group/Tuesday Group PAC,216,929000.0,207,91
ASHLEY HINSON FOR CONGRESS,Rep. Ashley Hinson,489,926362.0,416,144
CATHY MCMORRIS RODGERS FOR CONGRESS,Cathy McMorris Rodgers,439,917695.0,380,163
LAHOOD FOR CONGRESS,Rep. Darin LaHood,461,909453.0,404,170
BRIAN FITZPATRICK FOR ALL OF US,Brian Fitzpatrick,437,904441.02,364,136
PALLONE FOR CONGRESS,Frank Pallone,420,890615.0,377,117
HEARTLAND VALUES PAC,John Thune,268,889000.0,257,91
WOMEN VOTE!,None,9,888000.0,7,1
FEENSTRA FOR CONGRESS,Rep. Randy Feenstra,474,886030.0,406,152
JASON SMITH FOR CONGRESS,Rep. Jason Thomas Smith,341,883000.0,274,117
COLE FOR CONGRESS,Tom Cole,482,875950.0,419,124
VARIOUS VENDORS ASSOCIATED WITH UNIVERSITY OF DELAWARE'S COMMENCEMENT CEREMONY.,"President Joseph R. Biden delivered the commencement address and received a Medal of Distinction. More than 20,000 people, including 4,000 graduates, attended the ceremony.",1,872318.74,1,1
MONTANANS FOR TESTER,Jon Tester,448,870214.3900000001,383,134
HEARTLAND VALUES PAC,Sen. John Thune,286,870041.98,267,122
RON ESTES FOR CONGRESS,Rep. Ron Estes,453,862800.0,386,136
BALDERSON FOR CONGRESS,Rep. Troy Balderson,451,862650.0,394,149
NRCC (RECOUNT AND LEGAL FUND),NRCC (Recount and Legal Fund),27,862500.0,26,13
LAHOOD FOR CONGRESS,Darin LaHood,417,861660.04,364,119
TERRI SEWELL FOR CONGRESS,Rep. Terri Sewell,473,861405.0,405,176
VALADAO FOR CONGRESS,David Valadao,476,855571.62,396,108
FRIENDS OF JOHN THUNE,John Thune,354,853825.0,305,153
HUDSON FOR CONGRESS,Richard Hudson,408,848700.0,357,121
NEVADANS FOR STEVEN HORSFORD,Steven Horsford,480,843055.54,417,148
SCALISE FOR CONGRESS,Rep. Stephen Joseph Scalise,239,835500.0,208,94
MARTIN HEINRICH FOR SENATE,Martin Heinrich,548,833440.85,460,114
JOSH GOTTHEIMER FOR CONGRESS,Josh Gottheimer,392,831357.11,351,124
VARIOUS VENDORS,Congressman James E. Clyburn,1,823559.4,1,1
MCCARTHY VICTORY FUND,McCarthy Victory Fund,89,822692.5,71,27
MARTIN HEINRICH FOR SENATE,Sen. Martin Heinrich,471,818953.53,393,142
SCALISE FOR CONGRESS,Steve Scalise,233,814680.0,207,96
FRIENDS OF JOHN BARRASSO,John Barrasso,360,807533.23,304,112
TERRI SEWELL FOR CONGRESS,Terri Sewell,432,805460.0,374,125
SCALISE FOR CONGRESS,Rep. Steve Scalise,247,803020.0,212,128
SMITHSONIAN INSTITUTION-OSP/SMITHSONIAN SCIENCE EDUCATION CENTER (SSEC),"Board of Regents Includes: Chief Justice John Roberts Jr., Vice President Kamala Harris, Sen. John Boozman, Sen. Catherine Cortez Masto, Sen. Gary Peters, Rep. Garret Graves, Rep. Doris Matsui, Rep. A",1,800000.0,1,1
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,58,799250.0,48,20
BUILDING BRIDGES PAC,Building Bridges PAC,206,797150.0,183,83
JASON SMITH FOR CONGRESS,Rep Jason Smith,288,796250.0,229,87
CONGRESSIONAL BLACK CAUCUS INSTITUTE,Congressional Black Caucus Institute,16,795000.0,13,1
VARIOUS VENDORS,House Democratic Whip Katherine Clark,1,785462.96,1,1
RICHARD E NEAL FOR CONGRESS COMMITTEE,Rep. Richard Edmund Neal,300,783000.0,243,96
CITIZENS TO ELECT RICK LARSEN,Rep. Rick Larsen,376,780000.0,313,116
HMP,None,9,773919.85,2,1
JULIA LETLOW FOR CONGRESS,Rep. Julia Letlow,469,769700.0,394,129
EMMER FOR CONGRESS,"Rep. Thomas Earl Emmer, Jr.",287,766640.0,235,105
BEATTY FOR CONGRESS,Rep. Joyce Beatty,399,763350.0,334,123
FRENCH HILL FOR ARKANSAS,French Hill,330,757974.74,290,89
CITIZENS TO ELECT RICK LARSEN,Rick Larsen,351,757410.0,303,92
CARE IN ACTION PAC,CARE IN ACTION PAC,1,750000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.","TRUMP VANCE INAUGURAL COMMITTEE, INC.",1,750000.0,1,1
UNITED STATES HOLOCAUST MEMORIAL MUSEUM,"Sen. Jacky Rosen, Sen. Bernie Sanders, Sen. Tim Scott, Rep. Don Bacon, Rep. Lois Frankel, Rep. David Kustof, Rep. Max Miller, Rep. Brad Schneider, and appointed US Holocaust Memorial Council Members.",1,750000.0,1,1
GEORGE W. BUSH FOUNDATION,President George W. Bush,6,750000.0,3,1
HOUSE MAJORITY PAC,Houes Majority PAC,1,750000.0,1,1
JIMMY PANETTA FOR CONGRESS,Rep. Jimmy Panetta,422,745850.0,365,165
CONGRESSIONAL HISPANIC LEADERSHIP INSTITUTE,Congressional Hispanic Leadership Institute,29,745000.0,26,2
UNIDOSUS,Rep Emmanuel Cleave; Rep Sharice Davids; Rep Delia Ramirez,1,745000.0,1,1
MCCONNELL CHAO ARCHIVES,Senator Mitch McConnell,7,743402.3400000001,7,1
ELECT DEMOCRATIC WOMEN,Elect Democratic Women,268,742114.5700000001,233,74
BRIAN FITZPATRICK FOR ALL OF US,Rep. Brian Fitzpatrick,378,740970.51,332,143
NRSC (RECOUNT AND LEGAL FUND),NRSC (Recount and Legal Fund),27,737500.0,24,13
ADRIAN SMITH FOR CONGRESS,Adrian Smith,410,729950.0,373,127
THOM TILLIS COMMITTEE,Sen. Thom Tillis,292,725853.3200000001,230,127
BLAKE MOORE FOR CONGRESS,Rep. Blake Moore,392,722453.6900000001,325,132
JAY OBERNOLTE FOR CONGRESS,Rep. Jay Obernolte,436,721948.02,379,139
PALLONE FOR CONGRESS,"Rep. Frank Pallone, Jr.",263,720100.0,229,94
CAREY FOR CONGRESS,Mike Carey,470,714348.54,388,120
MULTIPLE VENDORS.,"U.S. Senator Cory Booker received the ""Distinguished Civil Rights Advocate"" award at the Lawyers' Committee for Civil Rights Under Law's annual fundraising gala (Higginbotham gala).",1,711690.73,1,1
BLAKE MOORE FOR CONGRESS,Blake Moore,428,710575.26,353,116
GARBARINO FOR CONGRESS,Rep. Andrew Garbarino,398,708600.0,327,137
DR. RAUL RUIZ FOR CONGRESS,Rep. Raul Ruiz,326,708050.0,282,114
NRCC,National Republican Congressional Committee,183,707354.1,100,24
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, INC.",Members of the Congressional Black Caucus,6,705985.0,6,1
YOUNG KIM FOR CONGRESS,Young Kim,356,703650.0,303,97
HEARTLAND VALUES PAC,Sen. John Randolph Thune,184,700500.0,172,81
JIMMY PANETTA FOR CONGRESS,Jimmy Panetta,420,697812.48,378,124
ANGIE CRAIG FOR CONGRESS,Angie Craig,409,697622.31,348,107
