filing_uuid,filing_year,filing_period,registrant_name,client_name,client_country,client_ppb_country,foreign_entity_name,foreign_entity_country,foreign_entity_ppb,income,url
54682463-70b2-4893-9a33-cd6423f16429,2022,third_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,SAMSUNG,KR,KR,820000.0,https://lda.senate.gov/api/v1/filings/54682463-70b2-4893-9a33-cd6423f16429/?format=json
ab507010-439c-41da-8729-c9b9c1562715,2022,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,"JAZZ PHARMACEUTICALS, INC.",IE,IE,820000.0,https://lda.senate.gov/api/v1/filings/ab507010-439c-41da-8729-c9b9c1562715/?format=json
8e035fd0-1181-403e-bdcc-42145196ecfd,2024,third_quarter,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",NEBIUS GROUP N.V. (FKA YANDEX N.V.),NL,NL,LASTAR TRUST,KY,KY,300000.0,https://lda.senate.gov/api/v1/filings/8e035fd0-1181-403e-bdcc-42145196ecfd/?format=json
5cb97ed0-5546-4c43-b3e6-c092b3136435,2024,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,AMS,GB,GB,240000.0,https://lda.senate.gov/api/v1/filings/5cb97ed0-5546-4c43-b3e6-c092b3136435/?format=json
5cb97ed0-5546-4c43-b3e6-c092b3136435,2024,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,ELASTIC,US,US,240000.0,https://lda.senate.gov/api/v1/filings/5cb97ed0-5546-4c43-b3e6-c092b3136435/?format=json
ef7cebea-4958-4f18-b598-dcc553d9c8b0,2025,fourth_quarter,MR. DAVID FRIEDMAN,"TEVA PHARMACEUTICALS USA, INC.",US,US,TEVA PHARMACEUTICAL INDUSTRIES LTD.,IL,IL,200000.0,https://lda.senate.gov/api/v1/filings/ef7cebea-4958-4f18-b598-dcc553d9c8b0/?format=json
9f6a7a46-08c5-4f02-b6bc-ea37e5c4bfa2,2023,second_quarter,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",SHEIN TECHNOLOGY LLC,US,US,BEAUTY OF FASHION INVESTMENT CO. LTD.,VG,VG,170000.0,https://lda.senate.gov/api/v1/filings/9f6a7a46-08c5-4f02-b6bc-ea37e5c4bfa2/?format=json
9f6a7a46-08c5-4f02-b6bc-ea37e5c4bfa2,2023,second_quarter,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",SHEIN TECHNOLOGY LLC,US,US,"ELITE DEPOT, LTD.",KY,KY,170000.0,https://lda.senate.gov/api/v1/filings/9f6a7a46-08c5-4f02-b6bc-ea37e5c4bfa2/?format=json
9f6a7a46-08c5-4f02-b6bc-ea37e5c4bfa2,2023,second_quarter,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",SHEIN TECHNOLOGY LLC,US,US,YANGTIAN XU,SG,SG,170000.0,https://lda.senate.gov/api/v1/filings/9f6a7a46-08c5-4f02-b6bc-ea37e5c4bfa2/?format=json
9e6bb0b7-4f2b-4a36-aabe-f553c389a79f,2024,first_quarter,MILLER & CHEVALIER CHARTERED,"HYZON MOTORS, INC.",US,US,HORIZON FUEL CELL TECHNOLOGIES PTE. LTD.,SG,SG,140000.0,https://lda.senate.gov/api/v1/filings/9e6bb0b7-4f2b-4a36-aabe-f553c389a79f/?format=json
ace449ea-c865-4111-838a-3e4f6c50d0b5,2025,third_quarter,HOGAN LOVELLS US LLP,UNITED STATES STEEL CORPORATION,US,US,NIPPON STEEL CORPORATION,JP,JP,140000.0,https://lda.senate.gov/api/v1/filings/ace449ea-c865-4111-838a-3e4f6c50d0b5/?format=json
c6d7b252-0986-4e0e-bcba-062780917e3a,2022,second_quarter,VENN STRATEGIES,"UCB, INC.",US,US,UCB S.A.,BE,BE,140000.0,https://lda.senate.gov/api/v1/filings/c6d7b252-0986-4e0e-bcba-062780917e3a/?format=json
5320dde8-742b-4ba5-93dc-4c1aebbe54b0,2022,third_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",DEL MONTE FRESH PRODUCE COMPANY,US,US,DEL MONTE PRODUCE INC.,KY,KY,140000.0,https://lda.senate.gov/api/v1/filings/5320dde8-742b-4ba5-93dc-4c1aebbe54b0/?format=json
8cb80588-aeb5-472f-9d72-f73e33cbea6c,2022,fourth_quarter,AKIN GUMP STRAUSS HAUER & FELD,NORTH AMERICAN PRODUCE COALITION,US,US,"ASOCIACION MEXICANA DE HORTICULTURA PROTEGIDA, A.C.",MX,MX,130000.0,https://lda.senate.gov/api/v1/filings/8cb80588-aeb5-472f-9d72-f73e33cbea6c/?format=json
8cb80588-aeb5-472f-9d72-f73e33cbea6c,2022,fourth_quarter,AKIN GUMP STRAUSS HAUER & FELD,NORTH AMERICAN PRODUCE COALITION,US,US,"ANEBERRIES, A.C.",MX,MX,130000.0,https://lda.senate.gov/api/v1/filings/8cb80588-aeb5-472f-9d72-f73e33cbea6c/?format=json
b82e50a3-d8ad-45da-be77-7d7d4c89ceb9,2025,second_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),KY,KY,120000.0,https://lda.senate.gov/api/v1/filings/b82e50a3-d8ad-45da-be77-7d7d4c89ceb9/?format=json
b82e50a3-d8ad-45da-be77-7d7d4c89ceb9,2025,second_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OF TIKTOK INC.),KY,KY,120000.0,https://lda.senate.gov/api/v1/filings/b82e50a3-d8ad-45da-be77-7d7d4c89ceb9/?format=json
b82e50a3-d8ad-45da-be77-7d7d4c89ceb9,2025,second_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,GOGOKU LTD. (OWNS APPROXIMATELY 21% OF BYTEDANCE LTD.) (FORMERLY BYTETEAM LTD.),VG,VG,120000.0,https://lda.senate.gov/api/v1/filings/b82e50a3-d8ad-45da-be77-7d7d4c89ceb9/?format=json
b82e50a3-d8ad-45da-be77-7d7d4c89ceb9,2025,second_quarter,"CROSSROADS STRATEGIES, LLC",TIKTOK INC.,US,US,ZHANG YIMING (OWNS 100% OF GOGOKU LTD.),SG,SG,120000.0,https://lda.senate.gov/api/v1/filings/b82e50a3-d8ad-45da-be77-7d7d4c89ceb9/?format=json
