registrant_id,registrant_name,quarterly_filings_with_null_income,distinct_clients,first_seen,last_seen
400388803,"JMH GROUP, FORMERLY JAMIAN MCELROY & HAMLIN, LLC",38,4,2022-first_quarter,2026-first_quarter
401105377,"TARAS, LLC",38,4,2022-first_quarter,2026-first_quarter
401103117,"B3 STRATEGIES, LLC",38,3,2022-first_quarter,2026-first_quarter
21632,KING & SPALDING LLP,37,15,2022-first_quarter,2025-fourth_quarter
53174,"CAPITOL RESOURCES, LLC",37,14,2022-first_quarter,2026-first_quarter
400454181,MR. MARK REY,37,10,2025-first_quarter,2025-third_quarter
400507495,SPIRIT ROCK CONSULTING,37,7,2022-first_quarter,2026-first_quarter
293233,MR. MARK KOPEC,37,7,2022-first_quarter,2026-first_quarter
40006051,"JBS COMMUNICATIONS, LLC",37,4,2022-first_quarter,2026-first_quarter
65191,VENN STRATEGIES,36,32,2022-first_quarter,2026-first_quarter
401106938,TELEGRAPH AVENUE ADVISORS,36,12,2023-first_quarter,2026-first_quarter
285871,NELSON MULLINS RILEY & SCARBOROUGH,36,11,2022-first_quarter,2026-first_quarter
401105994,JON THOMAS CONSULTING,36,11,2022-first_quarter,2024-second_quarter
17443,HANCE SCARBOROUGH,36,10,2022-first_quarter,2026-first_quarter
818,ALCALDE & FAY,36,8,2022-first_quarter,2026-first_quarter
401105350,SR PARTNERS LLC (FKA SKOG RASMUSSEN LLC),36,7,2022-first_quarter,2026-first_quarter
